iter,continuity,x-velocity,y-velocity,vf-phase-2,time/iter
1,1.00E+00,0.00E+00,0.00E+00,7.14E-08,00:00:19
2,3.07E-02,1.35E-01,3.71E-01,4.07E-08,00:00:14
3,6.71E-03,6.87E-02,1.82E-01,3.58E-08,00:00:11
4,4.54E-03,2.58E-02,6.91E-02,3.66E-08,00:00:08
5,3.24E-03,9.15E-03,2.37E-02,3.67E-08,00:00:06
6,2.27E-03,3.13E-03,8.49E-03,3.89E-08,00:00:05
7,1.60E-03,1.24E-03,3.38E-03,3.90E-08,00:00:03
8,1.13E-03,6.12E-04,1.66E-03,3.94E-08,00:00:03
9,7.88E-04,3.77E-04,8.98E-04,3.94E-08,00:00:03
10,6.86E-04,2.83E-01,6.01E-01,7.45E-08,00:00:03
11,4.88E-04,4.61E-02,1.14E-01,7.25E-08,00:00:06
12,3.51E-04,1.22E-02,3.08E-02,6.32E-08,00:00:04
13,2.47E-04,3.53E-03,8.93E-03,5.11E-08,00:00:03
14,1.77E-04,1.06E-03,2.63E-03,4.56E-08,00:00:02
15,1.27E-04,3.23E-04,7.72E-04,4.18E-08,00:00:03
16,9.69E-05,1.54E-01,3.56E-01,1.31E-07,00:00:02
17,6.95E-05,3.17E-02,7.93E-02,9.67E-08,00:00:01
18,5.17E-05,8.69E-03,2.21E-02,7.14E-08,00:00:01
19,3.88E-05,2.54E-03,6.48E-03,5.76E-08,00:00:01
20,3.07E-05,7.50E-04,1.93E-03,4.93E-08,00:00:01
21,2.47E-05,2.21E-04,5.73E-04,4.60E-08,00:00:01
22,2.60E-05,1.12E-01,2.66E-01,1.97E-07,00:00:01
23,2.33E-05,2.52E-02,6.32E-02,1.26E-07,00:00:00
24,2.11E-05,7.04E-03,1.79E-02,8.00E-08,00:00:00
25,1.98E-05,2.07E-03,5.26E-03,5.40E-08,00:00:00
26,1.76E-05,6.14E-04,1.56E-03,4.05E-08,00:00:03
27,1.76E-05,1.83E-04,4.65E-04,3.29E-08,00:00:03
28,2.82E-05,9.11E-02,2.19E-01,3.21E-07,00:00:03
29,2.53E-05,2.15E-02,5.41E-02,1.95E-07,00:00:02
30,2.45E-05,6.07E-03,1.54E-02,1.17E-07,00:00:01
31,2.31E-05,1.79E-03,4.55E-03,7.42E-08,00:00:01
32,2.09E-05,5.32E-04,1.35E-03,5.19E-08,00:00:01
33,2.02E-05,1.58E-04,4.02E-04,4.03E-08,00:00:01
34,3.62E-05,7.88E-02,1.91E-01,5.12E-07,00:00:01
35,3.07E-05,1.92E-02,4.83E-02,2.99E-07,00:00:01
36,3.01E-05,5.44E-03,1.38E-02,1.73E-07,00:00:00
37,2.79E-05,1.61E-03,4.09E-03,1.04E-07,00:00:00
38,2.68E-05,4.78E-04,1.22E-03,6.87E-08,00:00:00
39,2.60E-05,1.42E-04,3.62E-04,4.92E-08,00:00:00
40,5.11E-05,7.09E-02,1.73E-01,7.93E-07,00:00:04
41,4.28E-05,1.76E-02,4.43E-02,4.54E-07,00:00:03
42,3.71E-05,5.01E-03,1.27E-02,2.57E-07,00:00:02
43,3.60E-05,1.48E-03,3.77E-03,1.50E-07,00:00:02
44,3.51E-05,4.41E-04,1.12E-03,9.46E-08,00:00:01
45,3.43E-05,1.31E-04,3.34E-04,6.54E-08,00:00:01
46,7.62E-05,6.54E-02,1.60E-01,1.19E-06,00:00:01
47,6.03E-05,1.64E-02,4.15E-02,6.62E-07,00:00:01
48,5.24E-05,4.70E-03,1.19E-02,3.59E-07,00:00:01
49,4.79E-05,1.39E-03,3.54E-03,1.96E-07,00:00:00
50,4.37E-05,4.14E-04,1.05E-03,1.10E-07,00:00:00
